#{"t_start": 1617702187.5013726, "env_id": "Warehouse-v0"}
r,l,t
12,100,13.029438
7,100,14.988302
12,100,17.035714
9,100,18.974582
7,100,21.074241
18,100,22.997924
12,100,25.035276
22,100,26.957042
14,100,28.98141
12,100,30.906113
12,100,32.965612
19,100,34.857008
14,100,36.879289
11,100,38.805379
8,100,40.837057
22,100,42.760084
19,100,44.908869
18,100,46.868495
23,100,48.912898
23,100,50.807435
20,100,52.856248
15,100,54.822067
15,100,56.903494
25,100,58.816204
12,100,60.851585
20,100,62.7584
19,100,64.805254
18,100,66.718291
22,100,68.757731
29,100,70.706051
23,100,72.749586
30,100,74.70304
29,100,76.753568
26,100,78.680617
25,100,80.721553
20,100,82.625354
22,100,84.666504
27,100,86.586531
26,100,88.595174
24,100,90.492695
25,100,92.539024
17,100,94.44634
24,100,96.447451
23,100,98.348023
20,100,100.376615
30,100,102.246616
34,100,104.294364
24,100,106.191527
29,100,108.228703
19,100,110.16105
29,100,112.17681
32,100,114.113696
24,100,116.165893
31,100,118.103196
29,100,120.165626
35,100,122.056607
21,100,124.039221
35,100,125.959538
32,100,127.97802
21,100,129.886992
27,100,131.907351
32,100,133.843887
32,100,135.893974
31,100,137.810333
33,100,139.833368
35,100,141.746502
30,100,143.796173
32,100,145.713069
30,100,147.781082
25,100,149.707794
23,100,151.829444
25,100,153.759246
29,100,155.83314
40,100,157.762706
27,100,159.799484
27,100,161.698773
20,100,163.72302
31,100,165.634075
28,100,167.656711
36,100,169.56624
34,100,171.579255
33,100,173.473646
30,100,175.510487
42,100,177.388953
30,100,179.399162
30,100,181.308467
31,100,183.32654
30,100,185.250936
30,100,187.276811
30,100,189.163799
34,100,191.173363
30,100,193.077474
29,100,195.084239
26,100,196.987486
24,100,198.981781
24,100,200.875839
25,100,202.879681
38,100,204.763716
32,100,206.77631
19,100,208.697035
30,100,210.705353
31,100,212.670199
28,100,214.717304
33,100,216.630918
30,100,218.646888
29,100,220.597662
36,100,222.668495
35,100,224.602275
26,100,226.637452
30,100,228.536623
26,100,230.589619
29,100,232.539643
38,100,234.592359
33,100,236.507899
35,100,238.553316
34,100,240.513829
34,100,242.507603
35,100,244.425406
36,100,246.455038
30,100,248.369428
31,100,250.38279
28,100,252.304339
31,100,254.325078
29,100,256.212824
28,100,258.231466
34,100,260.160459
28,100,262.158689
30,100,264.066423
27,100,266.097784
31,100,268.063107
22,100,270.084705
30,100,272.048299
32,100,274.07654
37,100,275.9869
37,100,278.001482
39,100,279.947225
34,100,282.085628
32,100,284.097086
18,100,286.13675
25,100,288.037894
38,100,290.060942
29,100,291.979024
33,100,293.994993
29,100,295.902356
33,100,297.939418
38,100,299.897626
27,100,301.99302
31,100,304.039681
24,100,306.148235
29,100,308.10924
33,100,310.225988
35,100,312.254568
32,100,314.409353
31,100,316.411036
38,100,318.486418
32,100,320.480162
36,100,322.658023
42,100,324.691696
34,100,326.849427
38,100,328.974459
36,100,331.123583
32,100,333.189033
35,100,335.291802
31,100,337.287242
29,100,339.409971
36,100,341.378744
24,100,343.521413
25,100,345.522269
29,100,347.628527
41,100,349.631541
38,100,351.756538
42,100,353.727518
36,100,355.777925
27,100,357.726485
35,100,359.797728
32,100,361.766512
27,100,363.850915
30,100,365.777421
28,100,367.803837
29,100,369.737216
40,100,371.784922
33,100,373.698483
39,100,375.75005
31,100,377.680665
37,100,379.75013
27,100,381.678767
36,100,383.745427
33,100,385.704082
34,100,387.739982
24,100,389.66995
42,100,391.719479
29,100,393.686509
38,100,395.749482
37,100,397.692633
25,100,399.780386
31,100,401.727269
29,100,403.772804
38,100,405.708204
31,100,407.759999
33,100,409.68713
27,100,411.768325
35,100,413.706656
35,100,415.761266
28,100,417.702334
37,100,419.736503
33,100,421.671441
29,100,423.711106
36,100,425.643187
31,100,427.700724
34,100,429.636263
37,100,431.658643
39,100,433.58281
44,100,435.65601
33,100,437.587054
35,100,439.623721
31,100,441.53252
29,100,443.584738
39,100,445.509869
42,100,447.533605
34,100,449.483501
32,100,451.563364
33,100,453.51164
35,100,455.543375
32,100,457.438832
38,100,459.481947
44,100,461.377296
36,100,463.393991
30,100,465.313456
28,100,467.325795
41,100,469.235101
33,100,471.235733
32,100,473.153757
32,100,475.19396
43,100,477.132499
34,100,479.190674
37,100,481.107929
28,100,483.137702
39,100,485.04639
35,100,487.103508
29,100,489.005795
34,100,491.023914
40,100,492.918198
36,100,494.950217
34,100,496.859883
33,100,498.897207
33,100,500.820648
35,100,502.852694
35,100,504.773982
39,100,506.795961
31,100,508.732965
25,100,510.780207
36,100,512.722178
33,100,514.728479
39,100,516.638503
37,100,518.679216
31,100,520.595603
32,100,522.63374
30,100,524.564557
37,100,526.595736
38,100,528.533813
35,100,530.555267
33,100,532.525288
34,100,534.553757
33,100,536.465478
27,100,538.54256
30,100,540.526027
31,100,542.550796
39,100,544.459783
33,100,546.484046
32,100,548.412134
37,100,550.419614
35,100,552.337101
31,100,554.415398
36,100,556.344292
31,100,558.388406
26,100,560.342552
31,100,562.415489
35,100,564.368099
37,100,566.417236
27,100,568.347739
29,100,570.365474
37,100,572.307161
29,100,574.327422
32,100,576.238736
27,100,578.2941
30,100,580.250867
35,100,582.303091
41,100,584.241791
38,100,586.277414
36,100,588.179106
30,100,590.18025
28,100,592.077827
34,100,594.10946
32,100,596.030494
29,100,598.071378
32,100,599.983372
41,100,602.012547
26,100,603.940062
33,100,605.962056
38,100,607.885895
32,100,609.922685
37,100,611.833869
33,100,613.850914
32,100,615.797776
29,100,617.813888
29,100,619.71029
36,100,621.736462
37,100,623.62349
37,100,625.615516
35,100,627.538453
37,100,629.567862
26,100,631.588756
31,100,633.643485
35,100,635.589653
33,100,637.655493
35,100,639.600613
35,100,641.708465
27,100,643.640862
25,100,645.689161
39,100,647.59948
36,100,649.644672
31,100,651.578226
38,100,653.620192
37,100,655.552577
32,100,657.594968
30,100,659.556561
28,100,661.598444
33,100,663.565029
35,100,665.657221
34,100,667.596865
36,100,669.624793
30,100,671.556542
30,100,673.581915
38,100,675.510729
30,100,677.533525
30,100,679.43609
29,100,681.466291
37,100,683.377453
26,100,685.415459
36,100,687.325699
26,100,689.352864
33,100,691.281235
31,100,693.322515
28,100,695.317003
37,100,697.390769
31,100,699.33017
29,100,701.359715
40,100,703.245251
39,100,705.2765
38,100,707.174596
36,100,709.179914
38,100,711.095795
33,100,713.126757
34,100,715.098327
37,100,717.15614
35,100,719.088814
22,100,721.129533
41,100,723.070523
32,100,725.128228
31,100,727.085617
34,100,729.151264
34,100,731.071521
36,100,733.117469
42,100,735.022662
38,100,737.041789
36,100,738.975349
30,100,741.007367
40,100,742.935336
34,100,744.94666
32,100,746.861014
41,100,748.875113
34,100,750.767816
29,100,752.844107
28,100,754.73502
33,100,756.75266
33,100,758.644688
38,100,760.732181
32,100,762.668789
37,100,764.718734
36,100,766.638307
35,100,768.653455
31,100,770.554022
30,100,772.568625
38,100,774.466492
30,100,776.49602
28,100,778.402211
31,100,780.458033
32,100,782.376442
34,100,784.535769
36,100,786.548951
30,100,788.658106
28,100,790.631575
29,100,792.767469
36,100,794.769291
33,100,796.870434
29,100,798.789871
36,100,800.859078
37,100,802.825126
38,100,804.935407
31,100,806.923079
28,100,809.0351
37,100,810.997621
32,100,813.107276
39,100,815.046388
38,100,817.109483
34,100,819.061629
39,100,821.130869
33,100,823.076291
30,100,825.159685
33,100,827.107055
23,100,829.145158
40,100,831.078227
31,100,833.141963
37,100,835.09932
39,100,837.1554
35,100,839.132918
33,100,841.305683
36,100,843.232966
38,100,845.260008
44,100,847.196164
47,100,849.212641
35,100,851.138968
32,100,853.159774
33,100,855.105813
40,100,857.147909
34,100,859.052032
44,100,861.059707
34,100,862.979284
36,100,865.020042
32,100,866.95851
41,100,868.957426
28,100,870.883486
32,100,872.946589
32,100,874.85147
28,100,876.882198
35,100,878.782045
34,100,880.83133
27,100,882.767511
30,100,884.834211
40,100,886.762895
39,100,888.806491
27,100,890.727337
41,100,892.747355
42,100,894.661943
30,100,896.692864
38,100,898.609649
41,100,900.691962
36,100,902.601499
36,100,904.647177
40,100,906.6254
34,100,908.65447
39,100,910.592463
30,100,912.634434
36,100,914.582467
48,100,916.618697
34,100,918.558742
44,100,920.599101
30,100,922.503787
41,100,924.52483
38,100,926.430244
35,100,928.490918
33,100,930.413738
43,100,932.466893
34,100,934.383239
37,100,936.412674
31,100,938.343916
36,100,940.383181
32,100,942.399705
34,100,944.491587
34,100,946.476957
36,100,948.51516
37,100,950.470914
29,100,952.574903
30,100,954.522901
37,100,956.593803
25,100,958.519515
25,100,960.61687
33,100,962.565061
30,100,964.602744
28,100,966.554565
31,100,968.603858
30,100,970.519093
34,100,972.574696
40,100,974.54314
34,100,976.59504
33,100,978.557487
42,100,980.569194
47,100,982.47784
30,100,984.531651
48,100,986.456859
38,100,988.471782
32,100,990.403579
35,100,992.450367
36,100,994.368398
34,100,996.398956
40,100,998.329683
32,100,1000.393693
31,100,1002.33338
37,100,1004.387325
31,100,1006.30409
32,100,1008.341545
35,100,1010.276334
32,100,1012.336952
39,100,1014.26281
36,100,1016.288988
34,100,1018.196445
35,100,1020.21894
31,100,1022.150518
28,100,1024.182548
36,100,1026.116135
31,100,1028.146108
34,100,1030.085986
25,100,1032.140912
38,100,1034.107021
25,100,1036.172622
26,100,1038.104741
34,100,1040.161379
34,100,1042.108763
33,100,1044.171316
32,100,1046.093712
30,100,1048.130862
31,100,1050.084529
31,100,1052.176027
31,100,1054.076796
39,100,1056.110963
38,100,1058.02622
32,100,1060.057644
36,100,1061.980936
40,100,1064.034517
30,100,1065.962884
35,100,1067.997394
33,100,1069.898436
37,100,1071.941867
32,100,1073.862719
42,100,1075.883504
47,100,1077.810802
38,100,1079.858994
35,100,1081.778919
33,100,1083.794444
43,100,1085.736945
36,100,1087.790059
26,100,1089.741992
30,100,1091.775094
28,100,1093.762436
47,100,1095.822804
33,100,1097.75416
36,100,1099.762284
33,100,1101.654102
44,100,1103.687509
31,100,1105.634562
41,100,1107.658577
38,100,1109.566982
29,100,1111.606449
27,100,1113.523565
36,100,1115.55109
28,100,1117.440728
36,100,1119.459822
36,100,1121.428204
33,100,1123.474629
39,100,1125.393884
33,100,1127.441476
30,100,1129.373026
29,100,1131.422139
27,100,1133.341772
42,100,1135.398489
40,100,1137.397175
35,100,1139.57083
35,100,1141.511074
31,100,1143.60047
40,100,1145.514637
32,100,1147.524528
36,100,1149.456761
34,100,1151.473855
33,100,1153.415916
34,100,1155.471461
40,100,1157.379583
30,100,1159.414542
49,100,1161.323001
42,100,1163.356549
33,100,1165.283185
27,100,1167.314251
36,100,1169.235442
31,100,1171.338603
38,100,1173.240062
37,100,1175.231067
36,100,1177.181424
30,100,1179.173555
37,100,1181.086956
30,100,1183.094725
38,100,1185.01658
37,100,1187.037184
38,100,1188.935924
36,100,1190.943374
38,100,1192.85305
28,100,1194.857327
32,100,1196.748223
34,100,1198.762645
38,100,1200.694807
32,100,1202.717734
29,100,1204.625271
39,100,1206.685377
31,100,1208.603198
33,100,1210.64536
31,100,1212.54302
32,100,1214.569723
33,100,1216.473646
39,100,1218.492941
36,100,1220.407665
31,100,1222.404757
45,100,1224.322469
40,100,1226.322875
36,100,1228.229128
34,100,1230.22108
36,100,1232.161043
29,100,1234.143918
30,100,1236.05383
33,100,1238.061898
31,100,1240.021975
41,100,1242.039079
34,100,1243.948303
34,100,1245.980823
29,100,1247.893061
28,100,1249.885885
