#{"t_start": 1617895110.0436747, "env_id": "Warehouse-v0"}
r,l,t
8,100,9.101238
16,100,14.565305
13,100,20.439995
22,100,25.926204
23,100,31.796851
22,100,37.301652
24,100,43.151684
23,100,48.767872
22,100,54.749455
22,100,60.318078
29,100,66.148518
27,100,71.654831
27,100,77.553385
28,100,83.105673
36,100,88.962246
26,100,94.439501
27,100,100.332482
20,100,105.877143
33,100,111.780626
28,100,117.333055
29,100,123.231653
25,100,128.670952
21,100,134.569103
31,100,140.076867
41,100,146.020475
25,100,151.580248
25,100,157.443857
36,100,162.952872
32,100,168.911588
37,100,174.482731
29,100,180.37819
42,100,185.925244
34,100,191.875077
24,100,197.463992
32,100,203.389115
34,100,208.92933
32,100,214.801027
40,100,220.307756
30,100,226.138826
33,100,231.704973
32,100,237.604603
39,100,243.158669
36,100,248.975809
36,100,254.441544
30,100,260.321742
37,100,265.97821
35,100,271.948211
37,100,277.459264
27,100,283.312474
28,100,288.778628
44,100,294.651721
32,100,300.189541
25,100,306.119001
34,100,311.576192
42,100,317.448553
37,100,322.930383
38,100,328.745107
35,100,334.252218
32,100,340.113045
40,100,345.630509
33,100,351.531963
34,100,357.151035
32,100,363.115443
23,100,368.696995
41,100,374.558265
41,100,380.051144
28,100,385.859718
35,100,391.28546
37,100,397.153641
38,100,402.617347
37,100,408.508771
36,100,414.020737
29,100,419.843651
36,100,425.28342
42,100,431.108923
34,100,436.633635
31,100,442.473484
29,100,447.909542
29,100,453.721812
26,100,459.146309
32,100,464.960612
39,100,470.40382
37,100,476.266229
38,100,481.710736
33,100,487.538473
39,100,492.948
43,100,498.81415
31,100,504.269387
33,100,510.118932
36,100,515.615693
33,100,521.470551
41,100,526.963962
39,100,532.744778
41,100,538.2546
29,100,544.075963
35,100,549.502546
35,100,555.333887
29,100,560.856629
34,100,566.715929
31,100,572.307424
31,100,578.095568
39,100,583.548842
28,100,589.34427
33,100,594.805863
38,100,600.718855
32,100,606.189837
34,100,611.970026
37,100,617.447113
29,100,623.289971
30,100,628.740351
35,100,634.546
27,100,639.994606
36,100,645.821249
39,100,651.305961
39,100,657.129509
27,100,662.57507
34,100,668.465647
27,100,673.980262
40,100,679.954083
35,100,685.403229
34,100,691.259482
40,100,696.725713
38,100,702.557208
37,100,707.994267
38,100,713.79871
31,100,719.253899
35,100,725.061483
35,100,730.497194
35,100,736.324866
29,100,741.773414
28,100,747.578329
28,100,753.000925
34,100,758.835356
35,100,764.337939
32,100,770.166763
33,100,775.627252
38,100,781.449458
35,100,786.896185
37,100,792.704983
29,100,798.160573
39,100,804.042523
31,100,809.49979
39,100,815.279277
36,100,820.668753
35,100,826.4967
37,100,832.023576
35,100,837.951593
38,100,843.410046
40,100,849.213386
38,100,854.663898
36,100,860.490804
39,100,865.946655
41,100,871.777547
36,100,877.312506
39,100,883.140062
36,100,888.576085
26,100,894.386371
36,100,899.882151
37,100,905.693187
36,100,911.147101
40,100,916.9934
28,100,922.469163
42,100,928.306297
34,100,933.772958
35,100,939.546363
36,100,945.006916
45,100,950.845157
31,100,956.312534
35,100,962.145621
39,100,967.604893
35,100,973.399146
38,100,978.899489
40,100,984.860433
32,100,990.510797
37,100,996.340444
35,100,1001.865591
34,100,1007.782179
26,100,1013.247556
33,100,1019.079405
38,100,1024.529766
36,100,1030.340037
35,100,1035.854937
40,100,1041.669812
34,100,1047.105305
32,100,1052.920933
38,100,1058.343933
35,100,1064.138434
30,100,1069.610627
40,100,1075.457951
41,100,1080.908742
33,100,1086.729167
32,100,1092.192181
33,100,1098.014198
41,100,1103.473364
38,100,1109.262105
36,100,1114.701545
43,100,1120.496137
30,100,1125.98222
38,100,1131.895689
30,100,1137.378664
31,100,1143.189856
39,100,1148.658675
39,100,1154.404583
25,100,1159.92049
34,100,1165.810421
38,100,1171.274367
39,100,1177.076525
31,100,1182.55426
36,100,1188.418345
44,100,1193.86935
30,100,1199.761918
31,100,1205.229617
37,100,1211.026875
37,100,1216.468046
37,100,1222.318917
39,100,1227.778227
33,100,1233.619385
33,100,1239.078564
30,100,1244.921744
38,100,1250.48351
35,100,1256.362789
35,100,1261.820923
43,100,1267.69259
34,100,1273.133075
37,100,1278.998938
38,100,1284.416433
40,100,1290.194399
33,100,1295.817494
37,100,1301.719221
39,100,1307.181247
30,100,1312.995296
37,100,1318.475777
40,100,1324.353584
37,100,1329.93015
38,100,1335.740332
44,100,1341.252786
34,100,1347.081182
41,100,1352.50921
36,100,1358.351495
35,100,1363.732759
34,100,1369.515325
35,100,1374.983727
32,100,1380.768544
40,100,1386.172959
32,100,1392.012033
39,100,1397.457134
33,100,1403.295401
31,100,1408.759307
37,100,1414.616215
36,100,1420.046137
35,100,1425.855753
37,100,1431.380865
26,100,1437.192808
33,100,1442.592231
36,100,1448.36689
32,100,1453.840994
37,100,1459.716341
41,100,1465.168636
34,100,1470.950729
33,100,1476.328579
34,100,1482.1089
40,100,1487.645312
33,100,1493.543228
41,100,1499.042517
41,100,1504.830686
41,100,1510.204721
36,100,1515.986074
39,100,1521.461595
38,100,1527.255544
50,100,1532.722905
27,100,1538.51462
38,100,1543.946109
40,100,1549.749312
33,100,1555.229266
40,100,1561.062956
43,100,1566.528827
36,100,1572.361026
42,100,1577.838338
29,100,1583.647438
28,100,1589.102391
41,100,1594.972351
37,100,1600.36508
42,100,1606.300115
32,100,1611.875645
28,100,1617.709029
35,100,1623.126248
30,100,1628.945971
40,100,1634.35529
34,100,1640.277911
35,100,1645.747204
29,100,1651.592107
36,100,1657.102968
37,100,1662.966569
43,100,1668.438981
38,100,1674.249847
30,100,1679.712174
42,100,1685.580238
32,100,1691.019209
34,100,1696.871573
36,100,1702.301267
36,100,1708.083499
35,100,1713.498522
46,100,1719.311478
46,100,1724.782966
38,100,1730.699001
33,100,1736.200145
28,100,1742.033288
30,100,1747.454432
36,100,1753.270796
29,100,1758.708367
27,100,1764.569238
39,100,1770.004734
32,100,1775.818674
36,100,1781.2468
39,100,1787.034859
44,100,1792.553385
33,100,1798.507983
28,100,1803.975104
36,100,1809.759178
31,100,1815.290218
37,100,1821.213739
24,100,1826.730073
35,100,1832.550306
31,100,1837.998223
34,100,1843.817549
37,100,1849.276154
29,100,1855.109338
37,100,1860.619765
34,100,1866.426407
39,100,1871.863439
35,100,1877.66684
36,100,1883.129562
30,100,1888.943612
32,100,1894.411482
34,100,1900.244524
37,100,1905.675174
29,100,1911.48759
31,100,1917.10482
38,100,1922.97231
37,100,1928.432572
32,100,1934.235434
36,100,1939.65698
33,100,1945.461452
36,100,1950.87287
38,100,1956.735044
32,100,1962.170339
35,100,1968.004127
39,100,1973.449427
41,100,1979.317382
42,100,1984.799428
38,100,1990.592998
39,100,1996.013394
46,100,2001.86942
35,100,2007.270853
44,100,2013.057336
47,100,2018.491634
35,100,2024.313678
29,100,2029.821256
42,100,2035.640513
38,100,2041.058405
32,100,2046.853053
40,100,2052.304325
30,100,2058.176339
39,100,2063.645329
39,100,2069.44474
31,100,2074.879676
41,100,2080.624347
37,100,2086.066923
39,100,2091.827586
34,100,2097.38069
43,100,2103.201682
34,100,2108.587931
28,100,2114.396313
34,100,2119.879166
34,100,2125.652445
28,100,2131.070298
35,100,2136.830296
44,100,2142.278217
43,100,2148.104955
43,100,2153.575313
40,100,2159.419243
28,100,2164.818681
47,100,2170.592375
38,100,2175.996547
36,100,2181.865808
35,100,2187.300844
42,100,2193.106566
29,100,2198.515727
33,100,2204.308385
39,100,2209.732698
40,100,2215.583699
31,100,2221.034776
36,100,2226.965715
36,100,2232.426852
32,100,2238.297831
33,100,2243.762912
49,100,2249.581531
38,100,2255.026442
38,100,2260.811669
35,100,2266.21451
43,100,2272.086877
36,100,2277.515578
39,100,2283.333213
24,100,2288.788103
45,100,2294.567856
47,100,2300.049401
24,100,2305.887151
26,100,2311.293527
39,100,2317.113814
30,100,2322.555613
35,100,2328.37461
39,100,2333.842685
36,100,2339.669419
42,100,2345.077358
38,100,2350.892696
36,100,2356.356665
36,100,2362.194132
25,100,2367.634475
45,100,2373.409436
29,100,2378.81988
32,100,2384.694318
48,100,2390.207772
36,100,2396.052099
31,100,2401.555873
36,100,2407.428868
32,100,2412.83095
37,100,2418.652919
40,100,2424.105644
47,100,2429.920809
42,100,2435.342942
35,100,2441.121711
32,100,2446.592874
37,100,2452.537318
43,100,2458.011309
37,100,2463.843466
40,100,2469.286437
24,100,2475.087482
