#{"t_start": 1617908667.6114023, "env_id": "Warehouse-v0"}
r,l,t
15,100,16.621319
20,100,22.008595
16,100,27.754267
12,100,33.192646
21,100,38.879017
12,100,44.24226
20,100,50.029121
23,100,55.455336
16,100,61.160328
14,100,66.588835
25,100,72.283555
26,100,77.639464
23,100,83.387444
24,100,88.7541
30,100,94.51316
19,100,99.857011
25,100,105.567266
26,100,110.945271
25,100,116.675734
25,100,122.036268
21,100,127.807848
29,100,133.220087
24,100,139.006178
30,100,144.344831
25,100,150.076861
20,100,155.514836
33,100,161.215617
27,100,166.591718
32,100,172.327469
26,100,177.669938
25,100,183.367836
30,100,188.69353
23,100,194.567752
29,100,200.043111
31,100,205.959559
26,100,211.42577
28,100,217.175471
33,100,222.516444
31,100,228.309399
37,100,233.748916
31,100,239.550855
29,100,244.993918
33,100,250.745007
25,100,256.109795
34,100,261.86696
27,100,267.293658
29,100,272.947553
25,100,278.346504
30,100,284.163916
23,100,289.588567
29,100,295.356876
31,100,300.768034
32,100,306.456722
28,100,311.810122
28,100,317.48267
33,100,322.86342
25,100,328.571343
21,100,333.987444
31,100,339.695707
32,100,345.031729
38,100,350.748967
30,100,356.117502
26,100,361.885012
31,100,367.404339
34,100,373.23279
23,100,378.691615
21,100,384.493093
30,100,389.890351
29,100,395.638505
27,100,401.046812
30,100,406.757903
29,100,412.13599
38,100,417.857733
32,100,423.24764
31,100,428.999473
28,100,434.388726
32,100,440.180644
38,100,445.593434
36,100,451.382391
38,100,456.850366
32,100,462.641684
30,100,468.078816
30,100,473.805469
32,100,479.168544
34,100,484.969944
34,100,490.353667
28,100,496.145367
35,100,501.564922
38,100,507.50585
30,100,512.982341
35,100,518.713191
32,100,524.061895
32,100,529.837131
38,100,535.245359
28,100,540.926082
35,100,546.35051
31,100,552.082237
37,100,557.433239
36,100,563.09216
31,100,568.423239
31,100,574.125288
29,100,579.416635
37,100,585.107905
39,100,590.510888
30,100,596.292768
31,100,601.657885
29,100,607.365072
34,100,612.787044
32,100,618.492661
34,100,623.823953
27,100,629.56666
33,100,634.927718
27,100,640.5594
28,100,645.916566
32,100,651.633482
34,100,657.01423
28,100,662.880451
35,100,668.281727
35,100,674.027261
28,100,679.414059
31,100,685.166399
30,100,690.565314
39,100,696.361897
35,100,701.729887
39,100,707.454927
37,100,712.809058
28,100,718.527082
38,100,723.929176
31,100,729.694048
41,100,735.124405
31,100,740.822927
36,100,746.143553
32,100,751.798259
35,100,757.165123
33,100,762.919444
28,100,768.286094
37,100,774.030011
35,100,779.427226
27,100,785.115295
33,100,790.446218
30,100,796.094884
37,100,801.407465
37,100,807.170939
33,100,812.55885
43,100,818.329802
42,100,823.742124
40,100,829.448367
36,100,834.794553
35,100,840.514893
39,100,845.849119
29,100,851.62346
34,100,857.031044
31,100,862.803559
38,100,868.168367
42,100,873.8464
27,100,879.121984
42,100,884.707092
32,100,890.037186
30,100,895.731748
41,100,901.086015
29,100,906.781967
38,100,912.117451
33,100,917.844702
27,100,923.154853
36,100,928.873209
14,100,934.224506
29,100,939.922949
38,100,945.25939
34,100,950.955067
33,100,956.297318
47,100,961.926292
35,100,967.219164
37,100,972.883843
35,100,978.220835
29,100,983.912589
36,100,989.228911
36,100,995.008205
35,100,1000.291522
34,100,1005.968826
39,100,1011.269934
32,100,1016.995502
36,100,1022.384033
37,100,1028.077793
39,100,1033.378938
36,100,1039.000925
29,100,1044.28686
30,100,1049.927778
36,100,1055.251714
36,100,1060.98732
34,100,1066.28338
38,100,1071.895093
36,100,1077.151783
31,100,1082.76075
38,100,1088.041822
27,100,1093.657177
42,100,1098.95284
38,100,1104.577046
39,100,1109.906142
37,100,1115.564811
30,100,1120.838182
28,100,1126.661887
33,100,1132.094294
33,100,1137.880399
40,100,1143.117478
32,100,1148.736511
34,100,1154.014233
35,100,1159.733714
31,100,1164.987689
43,100,1170.645681
37,100,1175.902056
31,100,1181.50145
39,100,1186.743436
28,100,1192.404282
39,100,1197.67937
35,100,1203.28548
31,100,1208.492342
29,100,1214.09752
34,100,1219.325054
35,100,1224.96436
40,100,1230.234372
37,100,1235.807991
36,100,1241.044267
41,100,1246.613141
35,100,1251.889263
29,100,1257.572941
37,100,1262.813049
43,100,1268.468865
26,100,1273.682324
34,100,1279.242702
22,100,1284.481693
41,100,1290.117478
37,100,1295.385985
35,100,1300.933417
30,100,1306.223775
35,100,1311.803389
35,100,1317.071465
34,100,1322.806442
34,100,1328.066128
34,100,1333.686416
39,100,1338.94773
28,100,1344.647345
31,100,1349.989038
36,100,1355.612832
32,100,1360.870344
40,100,1366.494639
40,100,1371.704774
31,100,1377.332271
30,100,1382.579356
38,100,1388.192642
29,100,1393.408409
37,100,1398.98949
32,100,1404.23302
32,100,1409.901428
35,100,1415.131782
32,100,1420.754504
36,100,1426.005843
34,100,1431.589522
39,100,1436.981497
33,100,1442.707274
30,100,1447.97279
38,100,1453.604243
35,100,1458.892691
39,100,1464.602141
31,100,1469.950713
33,100,1475.61403
29,100,1480.89285
33,100,1486.596342
36,100,1491.876107
32,100,1497.565396
26,100,1502.897134
36,100,1508.616345
31,100,1513.941223
29,100,1519.720903
27,100,1525.039781
29,100,1530.721222
36,100,1536.058334
35,100,1541.76656
32,100,1547.118501
32,100,1552.917028
40,100,1558.254163
38,100,1563.998233
36,100,1569.341555
32,100,1575.079826
27,100,1580.428767
42,100,1586.225929
33,100,1591.613551
30,100,1597.272075
33,100,1602.556551
26,100,1608.238858
31,100,1613.534195
32,100,1619.253201
38,100,1624.574809
34,100,1630.230651
28,100,1635.547221
37,100,1641.162917
30,100,1646.40825
36,100,1652.084394
37,100,1657.493744
28,100,1663.165895
37,100,1668.488948
36,100,1674.114563
41,100,1679.371662
28,100,1685.031289
32,100,1690.292802
36,100,1695.962133
32,100,1701.235452
36,100,1706.863554
40,100,1712.16508
33,100,1717.808651
31,100,1723.067394
30,100,1728.687942
38,100,1733.975898
26,100,1739.653546
29,100,1744.908357
35,100,1750.623243
29,100,1756.019709
28,100,1761.573757
28,100,1766.895594
29,100,1772.584206
37,100,1777.842284
35,100,1783.510492
35,100,1788.767347
33,100,1794.348365
28,100,1799.582222
36,100,1805.190602
36,100,1810.443456
31,100,1816.081707
30,100,1821.319953
44,100,1827.072026
29,100,1832.392523
32,100,1838.044596
39,100,1843.273539
37,100,1848.941089
27,100,1854.25521
29,100,1859.910686
41,100,1865.182173
42,100,1870.844505
32,100,1876.164331
32,100,1881.873677
26,100,1887.166737
30,100,1892.758511
33,100,1898.059442
49,100,1903.692671
42,100,1909.006531
31,100,1914.713477
32,100,1920.063427
40,100,1925.79869
30,100,1931.18254
34,100,1936.846249
38,100,1942.155498
41,100,1947.837531
36,100,1953.205385
29,100,1958.887681
28,100,1964.160869
36,100,1969.799917
32,100,1975.063531
27,100,1980.749929
37,100,1986.073833
32,100,1991.772358
33,100,1997.099265
23,100,2002.790317
33,100,2008.176844
31,100,2013.956176
35,100,2019.331456
36,100,2025.051683
39,100,2030.409027
34,100,2036.124042
33,100,2041.551288
32,100,2047.337451
36,100,2052.66212
34,100,2058.542731
38,100,2064.051975
42,100,2069.951527
34,100,2075.425028
39,100,2081.188691
38,100,2086.527708
31,100,2092.322649
39,100,2097.705478
37,100,2103.430388
31,100,2108.903921
39,100,2114.734515
27,100,2120.175434
39,100,2125.954927
26,100,2131.338651
34,100,2137.131406
37,100,2142.488348
34,100,2148.324966
35,100,2153.750915
31,100,2159.586674
42,100,2165.111873
35,100,2170.942456
30,100,2176.319105
34,100,2182.138105
46,100,2187.52668
34,100,2193.353866
34,100,2198.812827
40,100,2204.623475
27,100,2210.104505
37,100,2216.00154
39,100,2221.514265
41,100,2227.384765
34,100,2232.849187
43,100,2238.765558
46,100,2244.248321
38,100,2250.08271
35,100,2255.593272
42,100,2261.39983
37,100,2266.853965
41,100,2272.696385
24,100,2278.172937
32,100,2283.98775
33,100,2289.355313
36,100,2295.154843
39,100,2300.522584
36,100,2306.215269
29,100,2311.622208
39,100,2317.419582
39,100,2322.800531
40,100,2328.485278
41,100,2333.865337
33,100,2339.592345
38,100,2344.949941
31,100,2350.676301
33,100,2356.017309
27,100,2361.709074
34,100,2367.197189
38,100,2373.121648
34,100,2378.731328
39,100,2384.542099
28,100,2389.941342
32,100,2395.678006
37,100,2401.135921
34,100,2406.900936
39,100,2412.312046
28,100,2418.053033
33,100,2423.399347
28,100,2429.088195
39,100,2434.473799
36,100,2440.19294
29,100,2445.666053
33,100,2451.38384
34,100,2456.776276
42,100,2462.503923
41,100,2467.927091
35,100,2473.671697
33,100,2479.060472
46,100,2484.788742
39,100,2490.092457
35,100,2495.844475
43,100,2501.183405
40,100,2506.900818
37,100,2512.264906
33,100,2517.983959
41,100,2523.391079
28,100,2529.196546
36,100,2534.605789
40,100,2540.293289
34,100,2545.697251
32,100,2551.420789
35,100,2556.823032
39,100,2562.523973
35,100,2567.903518
39,100,2573.532845
30,100,2578.874649
32,100,2584.589368
39,100,2589.98171
31,100,2595.733428
29,100,2601.114357
36,100,2606.835935
31,100,2612.247673
41,100,2618.012406
45,100,2623.341462
36,100,2629.072683
31,100,2634.453754
33,100,2640.217522
32,100,2645.58774
19,100,2651.291443
35,100,2656.607724
29,100,2662.314748
40,100,2667.660209
38,100,2673.359467
36,100,2678.800884
29,100,2684.573235
35,100,2689.982245
31,100,2695.673546
35,100,2700.984913
36,100,2706.698845
23,100,2712.090488
35,100,2717.844352
37,100,2723.193277
29,100,2728.890744
38,100,2734.232582
32,100,2739.87651
34,100,2745.233203
29,100,2750.963262
37,100,2756.316095
39,100,2762.092657
31,100,2767.456576
31,100,2773.17586
29,100,2778.53035
29,100,2784.252644
30,100,2789.565959
33,100,2795.280921
29,100,2800.659281
36,100,2806.423481
35,100,2811.748836
35,100,2817.422522
34,100,2822.803603
35,100,2828.539107
38,100,2833.840632
37,100,2839.559202
46,100,2844.892951
43,100,2850.579743
32,100,2855.9465
27,100,2861.580574
37,100,2866.882595
35,100,2872.552039
35,100,2877.943861
31,100,2883.655783
42,100,2888.9949
36,100,2894.691405
39,100,2900.002426
30,100,2905.70634
36,100,2911.051347
33,100,2916.755856
34,100,2922.100748
26,100,2927.80552
32,100,2933.116513
36,100,2938.80666
37,100,2944.124535
40,100,2949.796471
36,100,2955.12411
33,100,2960.838351
30,100,2966.215711
33,100,2971.962412
42,100,2977.314145
30,100,2983.022768
