#{"t_start": 1617882290.8606613, "env_id": "Warehouse-v0"}
r,l,t
7,100,9.903746
13,100,16.602121
9,100,23.603266
22,100,30.256291
28,100,37.233748
27,100,43.942899
18,100,50.963606
20,100,57.63994
19,100,64.909192
24,100,71.780884
28,100,79.194991
26,100,86.058646
27,100,93.332356
17,100,100.166613
26,100,107.297793
22,100,113.936834
37,100,121.08948
37,100,127.818542
33,100,134.889133
28,100,141.500294
23,100,148.641651
27,100,155.322529
29,100,162.406496
31,100,168.970121
30,100,175.964987
32,100,182.72087
33,100,189.75353
34,100,196.422057
32,100,203.421281
40,100,209.959626
22,100,217.205256
28,100,223.859967
29,100,230.935613
27,100,237.509739
26,100,244.529195
32,100,251.200732
21,100,258.30329
29,100,264.941163
38,100,271.903979
41,100,278.604622
28,100,285.618201
32,100,292.225858
28,100,299.306638
30,100,306.026764
32,100,313.206691
32,100,319.814174
37,100,326.835809
34,100,333.451141
37,100,340.532459
28,100,347.251922
35,100,354.3772
26,100,361.083902
36,100,368.090925
33,100,374.756061
32,100,381.839002
38,100,388.464906
35,100,395.572594
34,100,402.29688
33,100,409.386843
39,100,416.279778
34,100,423.421203
27,100,430.130635
32,100,437.406701
28,100,444.202132
32,100,451.355134
34,100,458.087479
30,100,465.194415
40,100,471.874542
36,100,479.045938
27,100,485.849613
44,100,492.961189
32,100,499.720505
36,100,506.922204
43,100,513.747679
39,100,520.980984
27,100,527.606418
30,100,534.682183
27,100,541.294517
38,100,548.349576
30,100,554.972695
35,100,562.157133
33,100,568.790136
42,100,575.93828
24,100,582.567647
29,100,589.638402
30,100,596.281866
34,100,603.338576
29,100,610.051052
32,100,617.125931
26,100,623.796681
34,100,631.010562
37,100,637.762872
36,100,644.885498
39,100,651.556775
30,100,658.617288
37,100,665.256172
43,100,672.34635
36,100,679.03548
41,100,686.084005
37,100,692.703655
42,100,699.743854
29,100,706.410441
36,100,713.4902
36,100,720.152932
36,100,727.246284
34,100,733.861935
34,100,740.932825
34,100,747.795453
27,100,755.116137
31,100,761.858447
31,100,768.978339
40,100,775.626512
34,100,782.742185
36,100,789.420671
34,100,796.529628
46,100,803.197657
35,100,810.29722
42,100,816.957523
41,100,824.032439
37,100,830.652395
37,100,837.781305
35,100,844.500869
36,100,851.604221
