#{"t_start": 1617871644.7252948, "env_id": "Warehouse-v0"}
r,l,t
15,100,10.034146
19,100,17.186268
18,100,24.73303
26,100,31.69051
17,100,39.136036
18,100,46.099282
36,100,53.58918
21,100,60.66111
22,100,68.156621
27,100,75.087209
27,100,82.459617
27,100,89.458737
23,100,96.845175
28,100,103.783911
25,100,111.218658
27,100,118.210822
31,100,125.737689
29,100,132.793318
30,100,140.296269
32,100,147.361081
31,100,154.864747
32,100,161.878151
33,100,169.388836
27,100,176.396052
24,100,183.880622
36,100,190.91981
31,100,198.341845
30,100,205.43881
41,100,213.08465
20,100,220.137238
33,100,227.641616
27,100,234.650864
40,100,242.052668
39,100,249.070474
29,100,256.494535
29,100,263.473568
25,100,270.966184
31,100,277.952453
29,100,285.382167
35,100,292.440881
34,100,299.940459
33,100,306.987486
31,100,314.387576
40,100,321.380675
31,100,328.798138
31,100,335.772889
36,100,343.206356
35,100,350.138348
37,100,357.593698
34,100,364.539155
31,100,371.926695
37,100,378.969991
35,100,386.468641
33,100,393.465087
33,100,400.89822
31,100,407.875862
31,100,415.281804
36,100,422.280979
25,100,429.75083
35,100,436.683751
41,100,444.082469
41,100,451.057514
34,100,458.555006
41,100,465.540812
37,100,473.00153
32,100,479.980686
34,100,487.427621
44,100,494.389713
38,100,501.780863
36,100,508.77316
33,100,516.382385
33,100,523.525673
36,100,530.979916
43,100,537.995639
34,100,545.463014
27,100,552.430586
37,100,559.878537
30,100,566.82551
34,100,574.210762
38,100,581.133928
36,100,588.608386
27,100,595.60909
27,100,602.959831
36,100,609.909709
41,100,617.359977
42,100,624.393011
35,100,631.823332
36,100,638.830666
29,100,646.338214
42,100,653.376077
37,100,660.838262
35,100,667.7954
40,100,675.185914
40,100,682.17882
28,100,689.667672
35,100,696.663999
34,100,704.146287
35,100,711.19908
39,100,718.65181
33,100,725.633694
32,100,733.038949
44,100,740.030595
38,100,747.430818
28,100,754.429188
47,100,761.895917
35,100,768.898095
44,100,776.334692
33,100,783.326772
38,100,790.816549
31,100,797.761601
40,100,805.209072
36,100,812.185842
36,100,819.755796
35,100,826.928523
38,100,834.418885
38,100,841.424004
39,100,848.849298
42,100,855.858529
35,100,863.319815
38,100,870.438509
47,100,878.188881
34,100,885.414732
35,100,893.167094
37,100,900.385518
41,100,908.046293
36,100,915.302017
39,100,922.973738
40,100,930.113229
39,100,937.723492
39,100,944.979203
29,100,952.701578
39,100,959.934798
31,100,967.517547
43,100,974.675278
38,100,982.386715
31,100,989.522981
34,100,997.21758
33,100,1004.396646
29,100,1012.039051
33,100,1019.219612
39,100,1026.828102
42,100,1034.002742
30,100,1041.66519
41,100,1048.92151
37,100,1056.581725
36,100,1063.801662
37,100,1071.449099
45,100,1078.645854
44,100,1086.320371
39,100,1093.552108
35,100,1101.21364
28,100,1108.46369
38,100,1116.176665
42,100,1123.323929
45,100,1131.196473
38,100,1138.588025
29,100,1146.289594
40,100,1153.541017
33,100,1161.22577
27,100,1168.399538
29,100,1176.152875
44,100,1183.462178
31,100,1191.171399
33,100,1198.468637
37,100,1206.182131
30,100,1213.379641
35,100,1221.074698
39,100,1228.232807
38,100,1235.749306
45,100,1242.774585
